A	filename	PSG filename
UW	clock_h2_N1_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
UX	clock_h2_N2_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
UY	clock_h2_N3_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
UZ	clock_h2_N2N3_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
VA	clock_h2_NREM_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
VB	clock_h2_R_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
VC	clock_h2_dom_freq_Hz	Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
VD	clock_h2_N1_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in N1 stage.
VE	clock_h2_N2_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in N2 stage.
VF	clock_h2_N3_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in N3 stage.
VG	clock_h2_N2N3_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
VH	clock_h2_NREM_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
VI	clock_h2_R_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in REM stage.
VJ	clock_h2_avg_freq_Hz	Hour 2 - Spindle average frequency (Hz) counting peaks in all stages.
VK	clock_h2_N1_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in N1 stage.
VL	clock_h2_N2_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in N2 stage.
VM	clock_h2_N3_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in N3 stage.
VN	clock_h2_N2N3_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in N2 and N3 stage.
VO	clock_h2_NREM_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in NREM stage (N1, N2, N3).
VP	clock_h2_R_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in REM stage.
VQ	clock_h2_amp_pkpk_uV	Hour 2 - Average peak-to-peak amplitude (uV) in all stages
VR	clock_h2_N1_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N1 stage.
VS	clock_h2_N2_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N2 stage.
VT	clock_h2_N3_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N3 stage.
VU	clock_h2_N2N3_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N2 and N3 stage.
VV	clock_h2_NREM_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in NREM stage (N1, N2, N3).
VW	clock_h2_R_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in REM stage.
VX	clock_h2_amp_rms_uV	Hour 2 - Average rms (Root Mean Square) amplitude (uV) in all stages
VY	clock_h2_N1_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N1 stage (uV sec).
VZ	clock_h2_N2_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 stage (uV sec).
WA	clock_h2_N3_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N3 stage (uV sec).
WB	clock_h2_N2N3_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 and N3 stage (uV sec).
WC	clock_h2_NREM_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in NREM stage (N1, N2, N3) (uV sec).
WD	clock_h2_R_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in REM stage (uV sec).
WE	clock_h2_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in all stages (uV sec)
WF	clock_h3_valid_min	Hour 3 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
WG	clock_h3_N1_valid_min	Hour 3 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
WH	clock_h3_N2_valid_min	Hour 3 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
WI	clock_h3_N3_valid_min	Hour 3 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
WJ	clock_h3_N2N3_valid_min	Hour 3 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
WK	clock_h3_NREM_valid_min	Hour 3 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
WL	clock_h3_R_valid_min	Hour 3 - Valid (no artifact) duration (min) in REM stage available for detection.
WM	clock_h3_min	Hour 3 duration (min) minus the REM periods if excluded.
WN	clock_h3_N1_spindle_count	Hour 3 - Sleep spindle count in N1 stage.
WO	clock_h3_N2_spindle_count	Hour 3 - Sleep spindle count in N2 stage.
WP	clock_h3_N3_spindle_count	Hour 3 - Sleep spindle count in N3 stage.
WQ	clock_h3_N2N3_spindle_count	Hour 3 - Sleep spindle count in N2 and N3 stage.
WR	clock_h3_NREM_spindle_count	Hour 3 - Sleep spindle count in NREM stage (N1, N2, N3).
WS	clock_h3_R_spindle_count	Hour 3 - Sleep spindle count in REM stage.
WT	clock_h3_spindle_count	Hour 3 - Sleep spindle count in all stages.
WU	clock_h3_N1_density	Hour 3 - Spindle density (count/min) in N1 stage.
WV	clock_h3_N2_density	Hour 3 - Spindle density (count/min) in N2 stage.
WW	clock_h3_N3_density	Hour 3 - Spindle density (count/min) in N3 stage.
WX	clock_h3_N2N3_density	Hour 3 - Spindle density (count/min) in N2 and N3 stage.
WY	clock_h3_NREM_density	Hour 3 - Spindle density (count/min) in NREM stage (N1, N2, N3).
WZ	clock_h3_R_density	Hour 3 - Spindle density (count/min) in REM stage.
XA	clock_h3_density	Hour 3 - Spindle density (count/min) in all stages.
XB	clock_h3_N1_spindle_sec	Hour 3 - Average spindle duration (s) in N1 stage.
XC	clock_h3_N2_spindle_sec	Hour 3 - Average spindle duration (s) in N2 stage.
XD	clock_h3_N3_spindle_sec	Hour 3 - Average spindle duration (s) in N3 stage.
XE	clock_h3_N2N3_spindle_sec	Hour 3 - Average spindle duration (s) in N2 and N3 stage.
XF	clock_h3_NREM_spindle_sec	Hour 3 - Average spindle duration (s) in NREM stage (N1, N2, N3).
XG	clock_h3_R_spindle_sec	Hour 3 - Average spindle duration (s) in REM stage.
XH	clock_h3_spindle_sec	Hour 3 - Average spindle duration (s) in all stages.
XI	clock_h3_N1_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
XJ	clock_h3_N2_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
XK	clock_h3_N3_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
XL	clock_h3_N2N3_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
XM	clock_h3_NREM_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
XN	clock_h3_R_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
XO	clock_h3_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
XP	clock_h3_N1_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N1 stage.
XQ	clock_h3_N2_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N2 stage.
XR	clock_h3_N3_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N3 stage.
XS	clock_h3_N2N3_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
XT	clock_h3_NREM_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
XU	clock_h3_R_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in REM stage.
XV	clock_h3_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in all stages.
XW	clock_h3_N1_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N1 stage.
XX	clock_h3_N2_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N2 stage.
XY	clock_h3_N3_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N3 stage.
XZ	clock_h3_N2N3_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N2 and N3 stage.
YA	clock_h3_NREM_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in NREM stage (N1, N2, N3).
YB	clock_h3_R_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in REM stage.
YC	clock_h3_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in all stages
YD	clock_h3_N1_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N1 stage.
YE	clock_h3_N2_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N2 stage.
YF	clock_h3_N3_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N3 stage.
YG	clock_h3_N2N3_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N2 and N3 stage.
