A	filename	PSG filename
ZO	clock_h5_N2N3_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
ZP	clock_h5_NREM_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
ZQ	clock_h5_R_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in REM stage.
ZR	clock_h5_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in all stages.
ZS	clock_h5_N1_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in N1 stage.
ZT	clock_h5_N2_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in N2 stage.
ZU	clock_h5_N3_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in N3 stage.
ZV	clock_h5_N2N3_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in N2 and N3 stage.
ZW	clock_h5_NREM_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
ZX	clock_h5_R_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in REM stage.
ZY	clock_h5_amp_pkpk_uV	Hour 5 - Average peak-to-peak amplitude (µV) in all stages
ZZ	clock_h5_N1_amp_rms_uV	Hour 5 - Average rms amplitude (µV) in N1 stage.
AAA	clock_h5_N2_amp_rms_uV	Hour 5 - Average rms amplitude (µV) in N2 stage.
AAB	clock_h5_N3_amp_rms_uV	Hour 5 - Average rms amplitude (µV) in N3 stage.
AAC	clock_h5_N2N3_amp_rms_uV	Hour 5 - Average rms amplitude (µV) in N2 and N3 stage.
AAD	clock_h5_NREM_amp_rms_uV	Hour 5 - Average rms amplitude (µV) in NREM stage (N1, N2, N3).
AAE	clock_h5_R_amp_rms_uV	Hour 5 - Average rms amplitude (µV) in REM stage.
AAF	clock_h5_amp_rms_uV	Hour 5 - Average rms (Root Mean Square) amplitude (µV) in all stages
AAG	clock_h6_valid_min	Hour 6 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
AAH	clock_h6_N1_valid_min	Hour 6 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
AAI	clock_h6_N2_valid_min	Hour 6 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
AAJ	clock_h6_N3_valid_min	Hour 6 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
AAK	clock_h6_N2N3_valid_min	Hour 6 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
AAL	clock_h6_NREM_valid_min	Hour 6 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
AAM	clock_h6_R_valid_min	Hour 6 - Valid (no artifact) duration (min) in REM stage available for detection.
AAN	clock_h6_min	Hour 6 duration (min) minus the REM periods if excluded.
AAO	clock_h6_N1_spindle_count	Hour 6 - Sleep spindle count in N1 stage.
AAP	clock_h6_N2_spindle_count	Hour 6 - Sleep spindle count in N2 stage.
AAQ	clock_h6_N3_spindle_count	Hour 6 - Sleep spindle count in N3 stage.
AAR	clock_h6_N2N3_spindle_count	Hour 6 - Sleep spindle count in N2 and N3 stage.
AAS	clock_h6_NREM_spindle_count	Hour 6 - Sleep spindle count in NREM stage (N1, N2, N3).
AAT	clock_h6_R_spindle_count	Hour 6 - Sleep spindle count in REM stage.
AAU	clock_h6_spindle_count	Hour 6 - Sleep spindle count in all stages.
AAV	clock_h6_N1_density	Hour 6 - Spindle density (count/min) in N1 stage.
AAW	clock_h6_N2_density	Hour 6 - Spindle density (count/min) in N2 stage.
AAX	clock_h6_N3_density	Hour 6 - Spindle density (count/min) in N3 stage.
AAY	clock_h6_N2N3_density	Hour 6 - Spindle density (count/min) in N2 and N3 stage.
AAZ	clock_h6_NREM_density	Hour 6 - Spindle density (count/min) in NREM stage (N1, N2, N3).
ABA	clock_h6_R_density	Hour 6 - Spindle density (count/min) in REM stage.
