A	filename	PSG filename
YR	clock_h4_N3_valid_min	Hour 4 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
YS	clock_h4_N2N3_valid_min	Hour 4 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
YT	clock_h4_NREM_valid_min	Hour 4 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
YU	clock_h4_R_valid_min	Hour 4 - Valid (no artifact) duration (min) in REM stage available for detection.
YV	clock_h4_min	Hour 4 duration (min) minus the REM periods if excluded.
YW	clock_h4_N1_spindle_count	Hour 4 - Sleep spindle count in N1 stage.
YX	clock_h4_N2_spindle_count	Hour 4 - Sleep spindle count in N2 stage.
YY	clock_h4_N3_spindle_count	Hour 4 - Sleep spindle count in N3 stage.
YZ	clock_h4_N2N3_spindle_count	Hour 4 - Sleep spindle count in N2 and N3 stage.
ZA	clock_h4_NREM_spindle_count	Hour 4 - Sleep spindle count in NREM stage (N1, N2, N3).
ZB	clock_h4_R_spindle_count	Hour 4 - Sleep spindle count in REM stage.
ZC	clock_h4_spindle_count	Hour 4 - Sleep spindle count in all stages.
ZD	clock_h4_N1_density	Hour 4 - Spindle density (count/min) in N1 stage.
ZE	clock_h4_N2_density	Hour 4 - Spindle density (count/min) in N2 stage.
ZF	clock_h4_N3_density	Hour 4 - Spindle density (count/min) in N3 stage.
ZG	clock_h4_N2N3_density	Hour 4 - Spindle density (count/min) in N2 and N3 stage.
ZH	clock_h4_NREM_density	Hour 4 - Spindle density (count/min) in NREM stage (N1, N2, N3).
ZI	clock_h4_R_density	Hour 4 - Spindle density (count/min) in REM stage.
ZJ	clock_h4_density	Hour 4 - Spindle density (count/min) in all stages.
ZK	clock_h4_N1_spindle_sec	Hour 4 - Average spindle duration (s) in N1 stage.
ZL	clock_h4_N2_spindle_sec	Hour 4 - Average spindle duration (s) in N2 stage.
ZM	clock_h4_N3_spindle_sec	Hour 4 - Average spindle duration (s) in N3 stage.
ZN	clock_h4_N2N3_spindle_sec	Hour 4 - Average spindle duration (s) in N2 and N3 stage.
