A	filename	PSG filename
BKI	stage_h4_NREM_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
BKJ	stage_h4_R_valid_min	Stage Hour 4 - Valid (no artifact) duration (min) in REM stage available for detection.
BKK	stage_h4_min	Stage Hour 4 duration (min) minus the REM periods if excluded.
BKL	stage_h4_N1_sw_count	Stage Hour 4 - Slow wave count in N1 stage.
BKM	stage_h4_N2_sw_count	Stage Hour 4 - Slow wave count in N2 stage.
BKN	stage_h4_N3_sw_count	Stage Hour 4 - Slow wave count in N3 stage.
BKO	stage_h4_N2N3_sw_count	Stage Hour 4 - Slow wave count in N2 and N3 stage.
BKP	stage_h4_NREM_sw_count	Stage Hour 4 - Slow wave count in NREM stage (N1, N2, N3).
BKQ	stage_h4_R_sw_count	Stage Hour 4 - Slow wave count in REM stage.
BKR	stage_h4_sw_count	Stage Hour 4 - Slow wave count in all stages.
BKS	stage_h4_N1_sw_sec	Stage Hour 4 - Average slow wave duration (s) in N1 stage.
BKT	stage_h4_N2_sw_sec	Stage Hour 4 - Average slow wave duration (s) in N2 stage.
BKU	stage_h4_N3_sw_sec	Stage Hour 4 - Average slow wave duration (s) in N3 stage.
BKV	stage_h4_N2N3_sw_sec	Stage Hour 4 - Average slow wave duration (s) in N2 and N3 stage.
BKW	stage_h4_NREM_sw_sec	Stage Hour 4 - Average slow wave duration (s) in NREM stage (N1, N2, N3).
BKX	stage_h4_R_sw_sec	Stage Hour 4 - Average slow wave duration (s) in REM stage.
BKY	stage_h4_sw_sec	Stage Hour 4 - Average slow wave duration (s) in all stages.
BKZ	stage_h4_N1_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in N1 stage.
BLA	stage_h4_N2_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in N2 stage.
BLB	stage_h4_N3_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in N3 stage.
BLC	stage_h4_N2N3_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in N2 and N3 stage.
BLD	stage_h4_NREM_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
BLE	stage_h4_R_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in REM stage.
BLF	stage_h4_pkpk_amp_uV	Stage Hour 4 - Average slow wave peak-to-peak amplitude (µV) in all stages.
BLG	stage_h4_N1_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in N1 stage.
BLH	stage_h4_N2_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in N2 stage.
BLI	stage_h4_N3_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in N3 stage.
BLJ	stage_h4_N2N3_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in N2 and N3 stage.
BLK	stage_h4_NREM_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in NREM stage (N1, N2, N3).
BLL	stage_h4_R_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in REM stage.
BLM	stage_h4_freq_Hz	Stage Hour 4 - Average slow wave frequency (Hz) in all stages.
BLN	stage_h4_N1_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in N1 stage.
BLO	stage_h4_N2_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in N2 stage.
BLP	stage_h4_N3_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in N3 stage.
BLQ	stage_h4_N2N3_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in N2 and N3 stage.
BLR	stage_h4_NREM_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in NREM stage (N1, N2, N3).
BLS	stage_h4_R_neg_amp_uV	Stage Hour 4 - Average slow wave negative amplitude (µV) in REM stage.
