A	filename	PSG filename
GT	hour10_R_fft_win_valid_count	Hour 10 - The number of valid fft windows in rem.
GU	hour10_Unscored_fft_win_count	Hour 10 - The number of valid fft windows unscored.
GV	hour10_Unscored_fft_win_valid_count	Hour 10 - The number of valid fft windows unscored.
GW	hour10_fft_win_count	Hour 10 - The total number of valid fft windows.
GX	hour10_fft_win_valid_count	Hour 10 - The total number of valid fft windows.
GY	hour11_W_fft_win_count	Hour 11 - The number of valid fft windows in awake.
GZ	hour11_W_fft_win_valid_count	Hour 11 - The number of valid fft windows in awake.
HA	hour11_N1_fft_win_count	Hour 11 - The number of valid fft windows in N1.
HB	hour11_N1_fft_win_valid_count	Hour 11 - The number of valid fft windows in N1.
HC	hour11_N2_fft_win_count	Hour 11 - The number of valid fft windows in N2.
HD	hour11_N2_fft_win_valid_count	Hour 11 - The number of valid fft windows in N2.
HE	hour11_N3_fft_win_count	Hour 11 - The number of valid fft windows in N3.
HF	hour11_N3_fft_win_valid_count	Hour 11 - The number of valid fft windows in N3.
HG	hour11_NREM_fft_win_count	Hour 11 - The number of valid fft windows in NREM.
HH	hour11_NREM_fft_win_valid_count	Hour 11 - The number ofhour1 valid fft windows in NREM.
HI	hour11_R_fft_win_count	Hour 11 - The number of valid fft windows in rem.
HJ	hour11_R_fft_win_valid_count	Hour 11 - The number of valid fft windows in rem.
HK	hour11_Unscored_fft_win_count	Hour 11 - The number of valid fft windows unscored.
HL	hour11_Unscored_fft_win_valid_count	Hour 11 - The number of valid fft windows unscored.
HM	hour11_fft_win_count	Hour 11 - The total number of valid fft windows.
HN	hour11_fft_win_valid_count	Hour 11 - The total number of valid fft windows.
HO	hour12_W_fft_win_count	Hour 12 - The number of valid fft windows in awake.
HP	hour12_W_fft_win_valid_count	Hour 12 - The number of valid fft windows in awake.
HQ	hour12_N1_fft_win_count	Hour 12 - The number of valid fft windows in N1.
HR	hour12_N1_fft_win_valid_count	Hour 12 - The number of valid fft windows in N1.
HS	hour12_N2_fft_win_count	Hour 12 - The number of valid fft windows in N2.
HT	hour12_N2_fft_win_valid_count	Hour 12 - The number of valid fft windows in N2.
HU	hour12_N3_fft_win_count	Hour 12 - The number of valid fft windows in N3.
HV	hour12_N3_fft_win_valid_count	Hour 12 - The number of valid fft windows in N3.
HW	hour12_NREM_fft_win_count	Hour 12 - The number of valid fft windows in NREM.
HX	hour12_NREM_fft_win_valid_count	Hour 12 - The number ofhour1 valid fft windows in NREM.
HY	hour12_R_fft_win_count	Hour 12 - The number of valid fft windows in rem.
HZ	hour12_R_fft_win_valid_count	Hour 12 - The number of valid fft windows in rem.
IA	hour12_Unscored_fft_win_count	Hour 12 - The number of valid fft windows unscored.
IB	hour12_Unscored_fft_win_valid_count	Hour 12 - The number of valid fft windows unscored.
IC	hour12_fft_win_count	Hour 12 - The total number of valid fft windows.
ID	hour12_fft_win_valid_count	Hour 12 - The total number of valid fft windows.
IE	hour1_act	Hour 1 - The spectral power (uV^2)
IF	hour1_W_act	Hour 1 - The spectral power (uV^2) in awake.
IG	hour1_N1_act	Hour 1 - The spectral power (uV^2) in N1.
IH	hour1_N2_act	Hour 1 - The spectral power (uV^2) in N2.
II	hour1_N3_act	Hour 1 - The spectral power (uV^2) in N3.
IJ	hour1_NREM_act	Hour 1 - The spectral power (uV^2) in NREM.
IK	hour1_R_act	Hour 1 - The spectral power (uV^2) in rem.
IL	hour1_Unscored_act	Hour 1 - The spectral power (uV^2) unscored.
IM	hour2_act	Hour 2 - The spectral power (uV^2)
IN	hour2_W_act	Hour 2 - The spectral power (uV^2) in awake.
IO	hour2_N1_act	Hour 2 - The spectral power (uV^2) in N1.
IP	hour2_N2_act	Hour 2 - The spectral power (uV^2) in N2.
IQ	hour2_N3_act	Hour 2 - The spectral power (uV^2) in N3.
IR	hour2_NREM_act	Hour 2 - The spectral power (uV^2) in NREM.
IS	hour2_R_act	Hour 2 - The spectral power (uV^2) in rem.
IT	hour2_Unscored_act	Hour 2 - The spectral power (uV^2) unscored.
IU	hour3_act	Hour 3 - The spectral power (uV^2)
IV	hour3_W_act	Hour 3 - The spectral power (uV^2) in awake.
IW	hour3_N1_act	Hour 3 - The spectral power (uV^2) in N1.
IX	hour3_N2_act	Hour 3 - The spectral power (uV^2) in N2.
IY	hour3_N3_act	Hour 3 - The spectral power (uV^2) in N3.
IZ	hour3_NREM_act	Hour 3 - The spectral power (uV^2) in NREM.
JA	hour3_R_act	Hour 3 - The spectral power (uV^2) in rem.
JB	hour3_Unscored_act	Hour 3 - The spectral power (uV^2) unscored.
JC	hour4_act	Hour 4 - The spectral power (uV^2)
JD	hour4_W_act	Hour 4 - The spectral power (uV^2) in awake.
JE	hour4_N1_act	Hour 4 - The spectral power (uV^2) in N1.
JF	hour4_N2_act	Hour 4 - The spectral power (uV^2) in N2.
JG	hour4_N3_act	Hour 4 - The spectral power (uV^2) in N3.
JH	hour4_NREM_act	Hour 4 - The spectral power (uV^2) in NREM.
JI	hour4_R_act	Hour 4 - The spectral power (uV^2) in rem.
JJ	hour4_Unscored_act	Hour 4 - The spectral power (uV^2) unscored.
JK	hour5_act	Hour 5 - The spectral power (uV^2)
JL	hour5_W_act	Hour 5 - The spectral power (uV^2) in awake.
JM	hour5_N1_act	Hour 5 - The spectral power (uV^2) in N1.
JN	hour5_N2_act	Hour 5 - The spectral power (uV^2) in N2.
JO	hour5_N3_act	Hour 5 - The spectral power (uV^2) in N3.
JP	hour5_NREM_act	Hour 5 - The spectral power (uV^2) in NREM.
