A	filename	PSG filename
ZF	stage_h7_N2N3_act	Hour 7 - The spectral power (uV^2) in N2 and N3.
ZG	stage_h7_NREM_act	Hour 7 - The spectral power (uV^2) in NREM.
ZH	stage_h7_R_act	Hour 7 - The spectral power (uV^2) in rem.
ZI	stage_h7_Unscored_act	Hour 7 - The spectral power (uV^2) unscored.
ZJ	stage_h8_act	Hour 8 - The spectral power (uV^2)
ZK	stage_h8_W_act	Hour 8 - The spectral power (uV^2) in awake.
ZL	stage_h8_N1_act	Hour 8 - The spectral power (uV^2) in N1.
ZM	stage_h8_N2_act	Hour 8 - The spectral power (uV^2) in N2.
ZN	stage_h8_N3_act	Hour 8 - The spectral power (uV^2) in N3.
ZO	stage_h8_N2N3_act	Hour 8 - The spectral power (uV^2) in N2 and N3.
ZP	stage_h8_NREM_act	Hour 8 - The spectral power (uV^2) in NREM.
ZQ	stage_h8_R_act	Hour 8 - The spectral power (uV^2) in rem.
ZR	stage_h8_Unscored_act	Hour 8 - The spectral power (uV^2) unscored.
ZS	stage_h9_act	Hour 9 - The spectral power (uV^2)
ZT	stage_h9_W_act	Hour 9 - The spectral power (uV^2) in awake.
ZU	stage_h9_N1_act	Hour 9 - The spectral power (uV^2) in N1.
ZV	stage_h9_N2_act	Hour 9 - The spectral power (uV^2) in N2.
ZW	stage_h9_N3_act	Hour 9 - The spectral power (uV^2) in N3.
ZX	stage_h9_N2N3_act	Hour 9 - The spectral power (uV^2) in N2 and N3.
ZY	stage_h9_NREM_act	Hour 9 - The spectral power (uV^2) in NREM.
ZZ	stage_h9_R_act	Hour 9 - The spectral power (uV^2) in rem.
AAA	stage_h9_Unscored_act	Hour 9 - The spectral power (uV^2) unscored.
