A	filename	PSG filename
ANS	stage_h3_N2_spindle_count	Stage Hour 3 - Sleep spindle count in N2 stage.
ANT	stage_h3_N3_spindle_count	Stage Hour 3 - Sleep spindle count in N3 stage.
ANU	stage_h3_N2N3_spindle_count	Stage Hour 3 - Sleep spindle count in N2 and N3 stage.
ANV	stage_h3_NREM_spindle_count	Stage Hour 3 - Sleep spindle count in NREM stage (N1, N2, N3).
ANW	stage_h3_R_spindle_count	Stage Hour 3 - Sleep spindle count in REM stage.
ANX	stage_h3_spindle_count	Stage Hour 3 - Sleep spindle count in all stages.
ANY	stage_h3_N1_density	Stage Hour 3 - Spindle density (count/min) in N1 stage.
ANZ	stage_h3_N2_density	Stage Hour 3 - Spindle density (count/min) in N2 stage.
AOA	stage_h3_N3_density	Stage Hour 3 - Spindle density (count/min) in N3 stage.
AOB	stage_h3_N2N3_density	Stage Hour 3 - Spindle density (count/min) in N2 and N3 stage.
AOC	stage_h3_NREM_density	Stage Hour 3 - Spindle density (count/min) in NREM stage (N1, N2, N3).
AOD	stage_h3_R_density	Stage Hour 3 - Spindle density (count/min) in REM stage.
AOE	stage_h3_N1_spindle_sec	Stage Hour 3 - Average spindle duration (s) in N1 stage.
AOF	stage_h3_N2_spindle_sec	Stage Hour 3 - Average spindle duration (s) in N2 stage.
AOG	stage_h3_N3_spindle_sec	Stage Hour 3 - Average spindle duration (s) in N3 stage.
AOH	stage_h3_N2N3_spindle_sec	Stage Hour 3 - Average spindle duration (s) in N2 and N3 stage.
AOI	stage_h3_NREM_spindle_sec	Stage Hour 3 - Average spindle duration (s) in NREM stage (N1, N2, N3).
AOJ	stage_h3_R_spindle_sec	Stage Hour 3 - Average spindle duration (s) in REM stage.
AOK	stage_h3_spindle_sec	Stage Hour 3 - Average spindle duration (s) in all stages.
AOL	stage_h3_N1_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
AOM	stage_h3_N2_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
AON	stage_h3_N3_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
AOO	stage_h3_N2N3_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
AOP	stage_h3_NREM_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
AOQ	stage_h3_R_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
AOR	stage_h3_dom_freq_Hz	Stage Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
AOS	stage_h3_N1_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in N1 stage.
AOT	stage_h3_N2_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in N2 stage.
AOU	stage_h3_N3_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in N3 stage.
AOV	stage_h3_N2N3_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
AOW	stage_h3_NREM_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
AOX	stage_h3_R_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in REM stage.
AOY	stage_h3_avg_freq_Hz	Stage Hour 3 - Spindle average frequency (Hz) counting peaks in all stages.
AOZ	stage_h3_N1_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in N1 stage.
APA	stage_h3_N2_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in N2 stage.
APB	stage_h3_N3_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in N3 stage.
APC	stage_h3_N2N3_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in N2 and N3 stage.
APD	stage_h3_NREM_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
APE	stage_h3_R_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in REM stage.
APF	stage_h3_amp_pkpk_uV	Stage Hour 3 - Average peak-to-peak amplitude (µV) in all stages
APG	stage_h3_N1_amp_rms_uV	Stage Hour 3 - Average rms amplitude (µV) in N1 stage.
APH	stage_h3_N2_amp_rms_uV	Stage Hour 3 - Average rms amplitude (µV) in N2 stage.
API	stage_h3_N3_amp_rms_uV	Stage Hour 3 - Average rms amplitude (µV) in N3 stage.
APJ	stage_h3_N2N3_amp_rms_uV	Stage Hour 3 - Average rms amplitude (µV) in N2 and N3 stage.
APK	stage_h3_NREM_amp_rms_uV	Stage Hour 3 - Average rms amplitude (µV) in NREM stage (N1, N2, N3).
APL	stage_h3_R_amp_rms_uV	Stage Hour 3 - Average rms amplitude (µV) in REM stage.
