A	filename	PSG filename
ABE	clock_h5_valid_min	Hour 5 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
ABF	clock_h5_N1_valid_min	Hour 5 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
ABG	clock_h5_N2_valid_min	Hour 5 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
ABH	clock_h5_N3_valid_min	Hour 5 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
ABI	clock_h5_N2N3_valid_min	Hour 5 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
ABJ	clock_h5_NREM_valid_min	Hour 5 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
ABK	clock_h5_R_valid_min	Hour 5 - Valid (no artifact) duration (min) in REM stage available for detection.
ABL	clock_h5_min	Hour 5 duration (min) minus the REM periods if excluded.
ABM	clock_h5_N1_spindle_count	Hour 5 - Sleep spindle count in N1 stage.
ABN	clock_h5_N2_spindle_count	Hour 5 - Sleep spindle count in N2 stage.
ABO	clock_h5_N3_spindle_count	Hour 5 - Sleep spindle count in N3 stage.
ABP	clock_h5_N2N3_spindle_count	Hour 5 - Sleep spindle count in N2 and N3 stage.
ABQ	clock_h5_NREM_spindle_count	Hour 5 - Sleep spindle count in NREM stage (N1, N2, N3).
ABR	clock_h5_R_spindle_count	Hour 5 - Sleep spindle count in REM stage.
ABS	clock_h5_spindle_count	Hour 5 - Sleep spindle count in all stages.
ABT	clock_h5_N1_density	Hour 5 - Spindle density (count/min) in N1 stage.
ABU	clock_h5_N2_density	Hour 5 - Spindle density (count/min) in N2 stage.
ABV	clock_h5_N3_density	Hour 5 - Spindle density (count/min) in N3 stage.
ABW	clock_h5_N2N3_density	Hour 5 - Spindle density (count/min) in N2 and N3 stage.
ABX	clock_h5_NREM_density	Hour 5 - Spindle density (count/min) in NREM stage (N1, N2, N3).
ABY	clock_h5_R_density	Hour 5 - Spindle density (count/min) in REM stage.
ABZ	clock_h5_density	Hour 5 - Spindle density (count/min) in all stages.
ACA	clock_h5_N1_spindle_sec	Hour 5 - Average spindle duration (s) in N1 stage.
ACB	clock_h5_N2_spindle_sec	Hour 5 - Average spindle duration (s) in N2 stage.
ACC	clock_h5_N3_spindle_sec	Hour 5 - Average spindle duration (s) in N3 stage.
ACD	clock_h5_N2N3_spindle_sec	Hour 5 - Average spindle duration (s) in N2 and N3 stage.
